Month,CPI,Trimmed mean,Weighted median
14-Sep,2.3,2.4,2.6
14-Dec,1.7,2.2,2.4
15-Mar,1.3,2.3,2.4
15-Jun,1.5,2.2,2.3
15-Sep,1.5,2.1,2.2
15-Dec,1.7,2.1,2
16-Mar,1.3,1.7,1.5
16-Jun,1,1.6,1.3
16-Sep,1.3,1.6,1.2
16-Dec,1.5,1.5,1.2
17-Mar,2.1,1.7,1.6
17-Jun,1.9,1.7,1.9
17-Sep,1.8,1.7,2
17-Dec,1.9,1.7,1.9
18-Mar,1.9,1.7,1.9
18-Jun,2.1,1.6,1.9
18-Sep,1.9,1.7,1.9
18-Dec,1.8,1.8,1.9
19-Mar,1.3,1.6,1.6
19-Jun,1.6,1.6,1.4
19-Sep,1.7,1.5,1.3
19-Dec,1.8,1.5,1.2
20-Mar,2.2,1.7,1.5
20-Jun,-0.3,1.2,1.2
20-Sep,0.7,1.1,1.2
20-Dec,0.9,1.1,1.3
21-Mar,1.1,1.1,1.2
21-Jun,3.8,1.6,1.6
21-Sep,3,2.1,2.1
